finished,age,gender,educ,employment,income,ideology_left,attention_check,democ1_squabble_pre,democ2_econ_bad_pre,democ3_no_order_pre,democ4_military_pre,democ5_better_pre,dem_estimate_pre,treat_share_high,dem_estimate_post,treat_turnout_high,democ1_squabble_post,democ2_econ_bad_post,democ3_no_order_post,democ4_military_post,democ5_better_post,behavioral,part_time_employ,full_time_employ,democ_post_all_missing,pre_democ_index,post_democ_index,male,zip_first_digit,non_white_share
0,79,Female,4,Homemaker,21000,2,8,NA,4,NA,NA,4,75,1,35,0,3,NA,3,4,NA,0,0,0,0,8,10,0,4,0.1422529796232218
0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,NA,NA,NA,NA
0,65,Female,5,Retired,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1,0,NA,0,2,0.4928677052681893
0,79,Male,5,Retired,35000,3,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1,0,NA,1,3,0.12380060847179963
0,70,Male,5,Retired,61000,2,8,4,NA,3,NA,NA,35,0,44,0,NA,4,NA,4,5,0,0,0,0,7,13,1,4,0.1422529796232218
0,65,Female,2,Retired,55000,2,8,NA,2,2,NA,NA,52,0,46,0,2,NA,NA,2,4,0,0,0,0,4,8,0,2,0.19638450148075023
0,69,Female,5,Retired,65000,2,8,4,NA,NA,NA,4,52,0,42,0,NA,4,4,5,NA,1,0,0,0,8,13,0,3,NA
0,58,Female,1,Homemaker,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1,0,NA,0,4,0.08450127877237856
0,74,Female,2,Retired,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1,0,NA,0,3,0.30610383688359066
0,73,Female,1,Retired,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1,0,NA,0,0,0.4899872508473522
0,47,Female,3,Part-time employed,55000,2,4,NA,NA,3,3,NA,25,1,35,1,NA,NA,NA,NA,NA,NA,1,0,1,6,NA,0,9,0.35163195894743127
1,68,Male,5,Retired,35000,2,8,NA,3,NA,5,NA,11,1,35,0,4,NA,3,NA,4,0,0,0,0,8,11,1,8,0.49531060355290746
0,69,Female,6,Retired,90000,3,8,NA,4,2,NA,NA,64,1,55,1,3,NA,NA,5,5,0,0,0,0,6,13,0,4,0.0431354882306566
0,38,Male,3,Unemployed,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1,0,NA,1,9,0.3718808812133289
1,53,Female,3,Retired,24000,3,8,NA,NA,2,NA,4,38,1,38,0,2,2,NA,5,NA,0,0,0,0,6,9,0,1,0.6748934203092095
1,76,Male,5,Retired,65000,2,6,4,4,NA,NA,NA,54,1,54,0,NA,NA,4,5,5,0,0,0,0,8,14,1,0,0.08830534889875619
1,27,Female,3,Part-time employed,150,4,6,NA,2,2,NA,NA,100,0,100,1,2,NA,NA,3,4,0,1,0,0,4,9,0,3,0.5173231250109751
1,63,Female,3,Unemployed,20000,3,8,NA,NA,NA,3,5,44,0,44,0,3,3,4,NA,NA,NA,0,0,0,8,10,0,3,0.6247237569060773
